days_since_last_login,avg_catalogs_opened,products_in_tariff,manager_interactions,avg_time_in_product,total_products_purchased,support_satisfaction,days_until_sub_end,risk_score
83,2.3,3,8,49,2,2.2,26,5
29,9.3,2,3,119,1,2.3,65,5
74,7.1,3,7,71,4,1.3,100,5
127,6.3,3,9,80,6,2.1,93,5
91,2.4,2,2,119,7,3.9,66,4
128,1.0,3,2,44,4,3.5,249,7
120,5.9,5,8,50,7,1.3,141,5
26,6.7,5,9,58,1,1.5,266,5
120,2.5,4,7,45,2,2.5,39,5
115,5.8,5,0,93,4,4.0,214,6
2,8.6,1,9,85,3,4.3,130,0
102,8.4,1,1,42,6,1.1,0,6
154,9.3,1,2,104,7,2.3,8,5
136,4.0,2,1,40,5,2.7,328,5
61,3.5,5,2,87,2,4.6,331,4
164,7.6,1,7,48,2,3.0,143,4
50,4.6,4,5,61,5,2.1,349,5
171,1.3,2,6,70,5,2.6,327,8
151,3.2,4,9,85,4,2.7,301,5
58,4.5,5,9,34,1,3.7,137,4
117,3.3,3,5,115,1,1.2,357,5
159,3.7,4,0,14,3,2.6,296,9
95,3.3,3,2,103,6,3.6,178,4
179,0.9,2,0,65,7,2.1,277,10
112,6.6,4,9,67,1,3.4,143,4
61,6.2,4,8,40,3,2.4,338,5
51,6.7,2,8,58,3,4.0,189,4
11,2.3,2,4,101,2,1.2,330,1
38,3.3,1,3,69,2,4.7,269,4
129,6.4,5,8,86,6,1.7,186,5
130,6.2,4,8,8,4,1.6,153,7
112,5.3,4,2,59,5,4.4,171,4
100,3.8,2,4,58,5,4.5,246,4
112,9.2,2,2,115,6,1.4,10,5
80,3.7,5,9,95,3,4.6,46,4
112,4.8,2,1,93,6,2.1,265,5
1,6.9,3,0,68,5,3.5,316,2
129,5.7,3,9,96,3,1.3,110,5
53,3.8,3,1,26,5,2.5,300,5
86,4.6,3,7,110,4,2.8,302,5
128,8.0,5,7,29,2,3.4,278,4
146,3.1,4,2,85,2,3.1,291,4
125,1.9,3,6,63,3,2.8,251,8
129,3.5,2,6,61,6,4.8,75,4
52,8.6,3,1,58,5,1.7,174,5
171,1.3,5,8,48,1,1.6,108,8
159,9.9,2,2,56,4,3.9,339,4
159,5.6,3,1,80,5,1.3,335,5
67,9.9,4,2,20,7,2.9,13,5
122,9.4,2,1,105,1,2.9,180,5
144,4.8,2,7,20,4,2.2,321,5
37,2.4,4,4,85,4,4.7,271,4
23,2.1,2,2,59,2,2.1,42,5
68,2.8,3,4,65,3,2.2,101,5
115,7.2,2,7,99,5,1.9,112,5
97,3.1,3,6,83,4,1.6,192,5
138,3.7,4,5,81,5,2.5,8,5
143,4.8,1,0,44,4,3.7,148,6
96,9.2,4,9,95,6,4.0,337,4
123,2.3,3,0,25,2,4.3,223,6
69,0.5,5,0,70,3,1.8,109,10
92,1.1,4,9,12,1,1.1,353,10
2,9.1,5,7,110,1,4.9,83,0
147,6.7,5,7,75,6,1.1,42,5
163,3.1,3,6,14,7,4.8,65,6
146,2.2,3,5,61,2,4.3,108,4
89,3.3,1,3,8,4,4.6,101,6
146,1.6,2,0,47,2,2.5,134,10
147,9.4,4,8,109,3,1.8,85,5
95,7.9,3,0,104,1,3.4,83,6
51,4.9,4,3,103,5,4.0,226,4
160,8.7,5,2,67,1,1.5,259,5
167,2.9,2,6,47,7,4.2,19,4
127,7.3,1,4,71,7,1.8,34,5
38,8.6,4,4,86,7,3.0,352,4
81,3.9,2,3,55,7,4.4,242,4
103,7.7,1,0,114,3,1.8,269,7
128,3.3,4,4,60,4,2.0,222,5
10,3.3,2,3,47,2,1.3,303,1
177,1.5,3,9,28,1,1.6,157,8
150,4.7,4,7,100,7,1.6,284,5
158,7.4,2,1,38,1,1.8,35,5
41,9.4,1,7,63,7,2.1,297,5
98,6.2,2,0,6,5,4.3,28,8
6,8.7,3,3,6,2,4.7,254,2
143,8.3,4,2,14,5,2.6,141,7
89,2.1,4,4,27,5,1.5,133,5
111,5.1,4,4,19,7,1.9,143,5
59,1.6,3,4,80,4,3.9,296,7
112,7.0,1,3,111,1,3.7,340,4
1,9.5,4,7,21,6,4.9,244,0
128,1.8,1,2,86,2,1.1,253,8
47,7.5,2,3,18,4,4.0,363,4
139,6.5,1,0,85,6,3.0,4,7
36,6.0,1,6,83,4,4.6,265,4
159,4.2,4,0,80,7,3.3,238,6
8,3.9,5,1,20,7,2.8,249,1
98,0.9,5,6,36,4,3.7,290,7
146,2.6,3,0,27,3,4.3,30,6
47,0.6,3,2,106,3,2.1,119,8
130,6.0,5,5,38,4,1.4,78,5
147,1.5,2,5,102,3,2.7,8,8
151,8.8,4,5,20,2,1.9,43,5
53,5.5,4,1,38,1,2.7,221,5
119,7.1,2,1,108,6,5.0,143,4
160,4.4,2,5,75,7,3.3,119,4
151,5.8,5,9,37,2,3.8,52,4
115,9.5,3,4,72,1,3.7,64,4
74,1.3,2,6,47,3,4.3,175,7
112,2.9,3,6,68,6,4.8,69,4
163,7.9,1,4,75,2,3.6,301,4
165,1.4,4,7,22,5,2.9,120,8
103,1.2,5,9,72,7,2.3,202,8
83,3.9,4,5,117,4,2.4,288,5
111,1.4,5,4,65,7,2.3,179,8
98,6.1,1,3,79,1,2.3,80,5
152,2.6,4,6,111,1,3.8,54,4
92,9.0,1,3,24,5,3.4,178,4
145,7.9,5,4,15,5,1.8,97,5
127,7.1,2,4,83,4,4.9,109,4
109,6.4,4,0,50,3,2.7,152,7
81,8.7,1,0,68,7,3.3,124,6
53,2.6,4,2,85,2,3.8,90,4
162,8.8,4,2,102,2,3.5,293,4
168,8.0,4,1,118,2,2.2,36,5
160,7.6,3,1,116,3,4.2,4,5
67,5.8,1,5,80,7,1.4,337,5
32,2.8,1,0,110,7,3.3,149,6
141,4.5,4,5,32,4,2.1,315,5
20,8.0,2,4,52,2,3.5,171,4
47,0.8,4,5,39,1,1.9,261,8
147,7.9,3,4,12,1,4.1,26,6
127,2.8,5,6,95,1,1.9,54,5
135,1.9,3,0,26,5,4.6,319,9
134,1.6,2,2,28,5,4.4,248,7
144,0.8,4,5,70,3,2.4,272,8
127,5.5,1,0,99,2,2.5,258,7
32,2.6,4,6,90,5,3.8,265,4
175,9.9,2,3,68,1,1.4,190,5
114,6.0,1,2,69,5,1.3,62,5
118,1.8,3,9,18,7,1.5,344,8
21,7.0,5,8,29,1,3.2,340,4
157,9.0,5,0,104,2,1.6,103,7
37,7.6,4,7,104,7,2.1,287,5
108,1.2,3,0,109,3,3.6,258,9
50,9.0,2,4,7,4,1.1,160,7
7,8.0,5,9,9,4,1.7,170,3
26,2.0,3,7,69,7,4.7,108,4
26,1.0,4,5,58,1,3.7,139,7
20,5.8,1,6,23,5,2.2,92,5
29,2.0,4,7,101,5,1.2,102,5
96,8.4,4,5,110,1,3.3,225,4
27,3.9,3,5,58,2,1.9,352,5
110,9.2,5,5,98,7,4.8,159,4
60,5.9,3,4,80,1,3.7,194,4
47,2.2,1,7,14,2,4.9,323,6
146,1.8,3,1,102,3,4.4,144,7
3,6.0,2,6,20,3,2.9,241,1
34,7.7,4,3,108,7,3.7,131,4
48,7.9,5,0,50,1,4.2,92,6
16,3.1,1,4,33,3,3.3,272,4
171,2.4,4,2,19,5,1.2,191,5
157,0.7,3,3,52,2,2.9,21,8
45,7.0,2,6,15,4,1.5,193,5
116,1.2,3,4,112,4,3.9,169,7
5,4.5,4,3,38,3,3.7,10,0
98,6.2,1,0,40,2,5.0,180,6
123,9.4,5,5,34,5,3.5,231,4
36,3.5,4,9,103,4,4.2,28,4
23,2.9,1,5,77,5,2.1,19,5
92,6.7,4,6,86,5,2.4,4,6
45,6.4,2,0,23,4,4.7,33,6
94,3.7,3,3,107,4,4.0,139,4
98,9.3,5,8,72,3,3.6,27,4
115,8.5,1,9,74,7,2.0,97,5
159,2.6,5,5,119,2,3.8,261,4
160,2.8,5,1,37,1,4.5,245,4
66,5.4,5,3,100,2,1.9,18,5
127,7.8,1,5,84,1,3.8,11,4
17,0.9,1,3,79,4,2.6,24,8
24,7.1,5,9,26,5,1.5,12,5
53,6.7,3,6,40,2,4.1,75,4
57,2.7,4,2,118,5,1.7,258,5
66,7.0,5,5,27,2,2.0,23,5
103,9.4,2,3,67,7,4.1,7,4
173,0.9,5,2,30,6,4.0,227,7
23,3.5,1,2,64,2,2.0,122,5
113,4.7,4,1,99,5,4.8,89,4
31,9.0,2,2,97,6,1.9,300,5
174,9.6,4,9,9,3,5.0,223,6
85,4.7,4,0,58,7,4.0,223,6
150,7.6,2,2,42,4,2.6,256,5
126,5.6,5,8,66,3,1.5,2,6
154,5.6,5,3,29,3,2.3,320,5
129,3.1,5,2,102,2,1.8,270,5
16,2.6,3,7,16,4,3.5,305,4
103,3.2,5,0,26,7,2.4,147,7
160,5.8,2,4,13,6,2.2,188,7
136,0.8,3,0,88,2,4.0,186,9
42,9.1,5,6,33,1,1.9,187,5
175,2.0,3,4,48,2,3.3,123,4
38,2.6,2,1,97,6,1.8,36,5
169,5.4,5,0,113,5,3.9,148,6
25,7.2,1,6,31,7,3.5,105,4
98,1.4,2,0,59,7,4.2,102,9
49,3.5,4,2,85,2,1.3,231,5
152,9.7,4,5,9,1,1.8,354,7
151,3.0,2,5,56,2,1.6,145,5
12,3.5,4,6,113,6,1.8,16,1
59,8.4,2,0,17,7,1.4,158,7
134,1.0,1,6,46,1,3.2,303,7
56,4.9,2,1,19,4,3.4,281,4
35,4.1,5,5,83,6,4.4,277,4
172,3.5,5,7,22,7,2.7,124,5
19,3.2,3,4,54,2,3.1,172,4
64,1.4,4,9,6,7,5.0,319,9
7,3.5,4,2,91,1,3.1,162,0
143,0.9,2,7,111,6,3.3,202,7
141,7.9,4,7,17,4,5.0,337,4
114,4.3,5,3,111,5,5.0,154,4
142,4.7,1,7,72,3,2.7,323,5
91,9.0,2,4,51,1,3.5,260,4
97,6.8,4,4,93,5,2.9,185,5
65,0.6,5,2,79,4,3.9,56,7
31,9.5,3,6,54,5,4.8,216,4
85,2.8,4,8,116,2,2.2,207,5
50,1.5,1,8,110,3,4.3,201,7
152,7.8,1,0,16,1,3.6,73,6
62,5.3,4,0,17,6,2.1,84,7
124,4.6,4,9,13,7,4.2,119,6
149,2.9,5,4,63,4,2.7,13,5
57,5.7,4,0,49,3,1.5,327,7
57,3.1,3,3,106,4,5.0,128,4
85,9.1,5,0,74,7,2.7,281,7
48,2.5,2,1,111,5,3.2,48,4
179,8.9,3,1,119,4,4.2,358,4
169,5.8,5,3,47,4,4.8,241,4
69,8.4,5,7,78,5,4.5,321,4
14,7.3,1,1,27,5,3.1,52,0
53,7.1,5,8,83,7,3.2,264,4
100,3.6,3,8,49,3,2.1,68,5
7,2.7,4,1,27,1,2.9,39,1
52,2.5,3,0,108,5,4.8,183,6
59,8.6,2,9,105,3,3.9,132,4
107,8.3,5,9,38,7,1.0,55,5
4,4.7,5,8,20,4,1.5,254,1
102,1.8,5,1,67,4,4.7,4,8
5,4.1,5,7,113,6,4.4,68,0
108,6.4,1,2,55,2,2.9,51,5
115,4.8,1,0,109,5,3.5,328,6
93,7.9,4,0,115,7,2.2,97,7
46,10.0,5,9,36,3,4.2,160,4
98,2.3,2,1,42,6,3.4,270,4
54,4.9,4,6,108,3,3.8,64,4
167,4.6,5,5,60,1,2.5,326,5
51,3.4,1,1,114,6,2.7,242,5
143,2.4,2,3,73,7,1.8,261,5
12,1.1,4,1,21,3,4.8,211,3
113,8.9,2,0,90,5,4.8,153,6
123,4.5,5,2,43,3,4.3,233,4
105,5.2,3,3,45,2,4.7,139,4
157,9.2,2,9,52,4,3.7,332,4
146,7.9,2,4,86,4,1.9,114,5
144,1.7,1,4,32,6,4.0,332,7
119,5.9,5,6,81,3,2.3,129,5
62,4.7,2,9,54,3,2.8,177,5
18,8.1,5,7,110,3,2.1,94,5
91,7.4,1,8,5,3,2.7,316,7
57,7.1,5,6,54,2,3.7,100,4
89,3.7,1,4,23,5,1.4,195,5
116,8.1,1,8,102,2,1.4,289,5
61,1.0,4,7,63,7,3.7,207,7
22,2.0,5,9,72,7,4.1,94,4
126,3.7,3,8,111,2,3.2,102,4
136,1.2,4,9,71,2,1.7,7,8
139,2.7,1,7,45,4,2.7,135,5
128,8.4,3,5,14,7,4.0,97,6
57,9.5,2,3,32,2,3.7,260,4
121,3.4,2,8,38,3,1.4,146,5
0,3.0,4,8,43,2,4.9,184,0
33,3.2,3,9,115,3,1.9,231,5
95,3.1,5,9,87,6,1.9,100,5
125,0.8,3,8,110,7,2.8,146,8
117,9.3,4,9,60,5,2.3,204,5
47,2.5,5,2,56,4,4.9,45,4
88,4.5,5,2,114,5,1.3,103,5
116,0.6,2,5,104,6,2.2,335,8
128,8.7,3,5,111,5,2.5,221,5
15,7.4,5,5,7,4,3.0,117,6
68,9.5,4,4,27,3,1.1,4,6
21,7.9,2,4,21,6,1.3,210,5
92,3.5,5,1,75,6,2.0,54,5
75,2.9,3,6,30,3,3.2,18,4
153,7.1,2,3,111,3,4.1,87,4
143,4.0,3,2,22,4,3.7,246,4
178,5.9,3,7,114,7,3.3,116,4
85,0.6,3,3,50,2,2.6,169,8
28,1.1,2,3,74,7,4.5,149,7
68,5.6,5,7,35,1,2.8,294,5
46,5.9,1,0,97,2,2.2,207,7
93,7.6,5,8,13,7,3.5,282,6
143,1.8,2,6,39,2,3.8,331,7
175,5.4,1,1,85,5,2.6,173,5
84,2.3,1,5,64,1,1.1,126,5
38,1.4,1,7,80,3,1.4,155,8
99,4.4,4,4,67,2,4.4,179,4
32,2.1,2,5,104,7,1.2,86,5
100,2.6,4,9,56,4,3.4,323,4
22,3.5,1,7,52,2,1.7,266,5
9,3.0,4,5,65,3,1.9,81,1
68,1.3,4,8,28,7,2.1,63,8
99,1.4,2,8,78,2,1.2,118,8
33,2.3,3,8,62,6,1.7,340,5
179,1.0,4,5,68,5,3.6,312,7
137,6.5,4,8,34,5,3.0,162,4
146,3.2,1,2,33,2,4.2,292,4
95,3.2,1,4,107,5,1.2,177,5
0,3.7,1,1,14,4,4.6,29,2
68,6.8,5,7,43,1,5.0,160,4
3,8.8,4,3,59,2,1.1,2,2
15,7.7,1,5,32,4,4.9,23,4
23,7.4,2,5,22,6,1.9,58,5
79,5.1,5,4,45,4,3.8,236,4
1,7.1,3,0,118,4,2.2,239,3
127,5.8,4,6,85,6,3.1,310,4
159,2.6,4,9,79,3,3.0,320,4
83,2.5,2,7,69,2,2.4,159,5
151,3.3,3,0,85,2,3.9,59,6
139,9.2,3,9,104,2,3.4,239,4
177,5.7,5,6,104,1,3.0,321,4
162,7.5,4,3,50,4,4.9,58,4
123,3.8,1,5,64,2,4.8,52,4
32,4.4,2,8,13,5,4.8,63,6
160,1.7,2,4,49,3,4.5,120,7
178,2.1,2,7,64,6,2.0,118,5
170,8.4,2,4,32,6,2.4,285,5
100,6.1,1,1,116,1,1.9,17,5
11,3.7,1,3,101,7,4.9,4,1
66,8.1,5,1,7,6,1.6,324,7
64,2.8,4,6,55,3,2.5,159,5
160,9.8,1,6,12,7,1.8,141,7
167,3.8,5,2,118,4,1.9,17,5
73,3.7,3,6,74,6,2.0,67,5
42,3.5,4,0,63,7,3.6,113,6
43,1.7,1,0,65,7,1.3,21,10
28,1.6,3,8,62,6,3.3,19,7
140,6.7,5,5,74,5,4.3,262,4
11,8.8,1,4,97,4,4.1,97,0
94,8.0,1,5,105,2,1.6,104,5
45,1.8,3,5,16,3,4.7,285,7
129,5.7,1,0,13,6,4.1,4,9
34,1.5,2,4,109,5,1.0,128,8
80,0.9,1,8,53,3,3.9,158,7
89,6.7,4,3,87,7,3.9,250,4
7,5.6,3,2,21,1,3.0,275,0
92,1.3,4,0,58,5,1.2,82,10
153,0.8,5,1,116,7,3.3,319,7
89,9.9,4,2,48,1,4.1,117,4
161,0.8,2,3,36,6,2.1,28,8
114,4.7,2,6,39,5,3.7,357,4
104,5.3,4,5,82,2,2.4,137,5
134,1.6,5,7,53,7,3.3,156,7
57,2.1,1,8,58,3,2.5,30,5
113,3.8,2,5,20,3,2.2,330,5
74,7.7,4,6,89,7,4.4,285,4
156,5.3,4,3,16,7,4.0,152,4
119,6.6,4,1,92,4,2.4,335,5
163,9.9,1,8,102,5,2.7,57,5
20,7.8,3,8,12,5,3.8,312,6
163,4.6,5,3,112,7,4.2,86,4
137,4.7,3,2,25,1,3.7,122,4
100,6.4,5,9,52,5,3.2,190,4
151,6.8,5,5,12,3,4.8,352,6
176,5.3,4,2,32,5,4.1,292,4
98,6.6,2,0,84,4,1.5,313,7
35,0.7,4,3,14,4,3.2,27,9
95,4.6,1,0,56,7,2.6,154,7
151,3.1,5,1,19,3,4.2,229,4
150,1.7,2,2,8,3,1.2,36,10
36,1.4,5,7,94,3,2.6,5,9
11,6.2,5,9,83,5,2.3,317,1
112,5.5,4,3,104,5,1.6,224,5
12,2.9,2,3,100,2,2.5,32,1
22,5.0,2,9,66,6,3.7,88,4
98,5.2,5,8,111,7,2.4,333,5
104,2.4,2,6,106,6,3.3,39,4
29,6.7,2,1,8,1,3.4,168,6
16,7.9,4,2,45,5,3.3,297,4
112,8.0,3,3,77,2,3.1,17,4
61,6.2,1,3,103,2,1.5,14,5
83,5.4,3,9,59,4,1.9,131,5
111,1.1,2,7,32,5,4.2,289,7
85,3.2,5,9,105,2,3.0,317,4
140,1.4,1,9,51,4,3.8,293,7
18,9.7,1,5,13,1,3.3,208,6
176,1.8,5,2,6,4,1.2,326,10
99,1.9,1,8,71,1,4.2,278,7
139,9.0,5,9,112,6,1.3,275,5
146,9.5,1,7,52,6,4.8,308,4
75,7.8,3,8,73,3,1.9,276,5
8,0.6,1,4,78,3,3.0,75,3
27,0.5,4,2,32,7,1.3,297,8
127,4.1,5,3,83,4,4.6,312,4
51,1.9,1,4,18,7,4.9,346,7
82,0.7,5,8,50,3,1.6,111,8
110,4.9,4,8,91,5,2.2,265,5
143,9.5,1,2,17,4,1.1,71,5
116,3.6,1,6,20,2,4.1,316,4
68,6.8,4,5,98,5,2.2,20,5
98,6.7,4,3,44,7,3.4,187,4
139,2.9,4,4,76,4,1.2,120,5
24,6.7,5,9,85,7,3.9,341,4
179,2.5,4,1,34,6,3.1,140,4
122,1.7,5,6,85,1,3.9,303,7
52,7.2,3,3,103,7,4.2,203,4
150,1.6,1,1,69,3,1.4,208,8
143,10.0,1,5,117,3,3.3,8,4
56,2.2,2,1,62,3,3.6,184,4
38,6.1,3,9,92,4,3.1,295,4
108,4.4,4,1,52,5,1.7,331,5
41,1.7,4,6,53,1,4.2,200,7
166,0.8,3,0,93,3,5.0,63,9
141,6.4,4,6,6,5,4.9,349,6
121,8.2,2,9,93,7,4.1,325,4
132,8.5,5,4,18,2,2.7,319,5
162,5.1,1,0,107,6,2.3,24,7
74,7.9,3,5,119,2,1.3,155,5
145,6.9,1,6,101,1,2.7,220,5
75,7.4,5,0,21,3,1.6,291,7
8,5.2,3,8,35,2,2.0,138,1
73,6.5,5,6,14,6,4.6,20,6
144,8.2,4,0,74,5,4.9,153,6
6,4.3,4,2,107,5,4.8,67,0
173,8.2,4,4,93,2,1.8,40,5
140,6.1,5,3,106,7,4.6,14,4
167,2.1,5,1,41,7,1.6,278,5
169,0.7,5,0,68,3,3.0,168,9
136,3.9,1,3,34,6,3.6,133,4
177,5.7,5,6,38,1,2.8,198,5
26,8.5,4,3,22,3,4.8,237,4
121,1.7,2,8,92,4,2.3,111,8
4,8.1,5,7,67,2,3.1,51,0
28,8.7,2,7,53,4,1.3,136,5
164,1.9,4,4,60,2,4.4,254,7
165,8.6,5,0,95,1,2.7,114,7
82,9.9,1,8,62,3,3.8,157,4
135,7.4,1,1,31,6,3.7,299,4
108,8.0,2,5,59,7,3.7,263,4
64,9.9,1,9,107,7,3.0,354,4
85,6.3,1,4,89,3,2.1,306,5
144,3.4,1,9,23,2,3.5,98,4
70,8.5,4,7,107,7,4.8,120,4
44,6.3,1,2,27,5,4.3,89,4
131,6.0,3,5,107,4,1.4,29,5
35,2.9,5,5,116,6,1.1,229,5
69,7.7,1,9,112,6,3.0,138,4
158,1.3,1,2,51,7,4.1,253,7
18,9.3,1,6,83,3,2.3,30,5
107,3.6,3,3,111,3,3.8,161,4
166,1.7,1,4,70,2,4.7,155,7
90,4.7,1,8,103,5,2.8,322,5
89,0.9,5,5,55,4,2.0,116,8
18,7.0,3,9,88,5,4.7,190,4
38,9.1,3,3,32,6,2.9,175,5
125,8.5,1,7,61,5,2.6,4,6
172,1.7,3,8,62,7,2.4,332,8
140,1.7,2,9,19,2,2.7,11,8
125,8.2,3,4,20,5,3.7,58,4
57,9.3,3,1,101,4,2.7,320,5
147,4.9,3,5,51,6,2.3,307,5
60,5.2,4,7,67,1,4.0,298,4
126,3.5,4,4,16,6,1.8,249,5
